Zone ID,Load Zone,Month,Total Cost per MWh,,,
4004,CONNECTICUT,11/1/2019,4.3485,,,
4004,CONNECTICUT,12/1/2019,4.3485,,,
4004,CONNECTICUT,1/1/2020,4.543,,,
4004,CONNECTICUT,2/1/2020,4.563,,,
4004,CONNECTICUT,3/1/2020,4.563,,,
4004,CONNECTICUT,4/1/2020,4.563,,,
4004,CONNECTICUT,5/1/2020,4.563,,,
4004,CONNECTICUT,6/1/2020,4.563,,,
4004,CONNECTICUT,7/1/2020,4.563,,,
4004,CONNECTICUT,8/1/2020,4.563,,,
4004,CONNECTICUT,9/1/2020,4.563,,,
4004,CONNECTICUT,10/1/2020,4.563,,,
4004,CONNECTICUT,11/1/2020,4.563,,,
4004,CONNECTICUT,12/1/2020,4.563,,,
4004,CONNECTICUT,1/1/2021,4.7575,,,
4004,CONNECTICUT,2/1/2021,4.7575,,,
4004,CONNECTICUT,3/1/2021,4.7575,,,
4004,CONNECTICUT,4/1/2021,4.7575,,,
4004,CONNECTICUT,5/1/2021,4.7575,,,
4004,CONNECTICUT,6/1/2021,4.7575,,,
4004,CONNECTICUT,7/1/2021,4.7575,,,
4004,CONNECTICUT,8/1/2021,4.7575,,,
4004,CONNECTICUT,9/1/2021,4.7575,,,
